week,day_id,day,mainMuscle,exercise,substitutionOption1,substitutionOption2,notes,repsWorkingSet1,minRestMinutes,maxRestMinutes,minWarmUpSets,maxWarmUpSets,workingSets,minRPE,maxRPE,repsWorkingSet2,repsWorkingSet3,minReps,maxReps,timeSeconds,amrap,hold
1,1,Push #1,Pectorals,Bench Press,DB Bench Press,Machine Chest Press,"Set up a comfortable arch, quick pause on the chest and explode up on each rep",,3,4,3,4,1,8,9,,,3,5,,FALSE,FALSE
1,1,Push #1,Pectorals,Larsen Press,"DB Bench Press 
(No Leg Drive)","Machine Chest Press 
(No Leg Drive)",Shoulder blades still retracted and depressed. Slight arch in upper back. Zero leg drive.,,3,4,0,0,2,8,9,,,10,10,,FALSE,FALSE
1,1,Push #1,Shoulders,Standing Dumbbell Arnold Press,Seated DB Shoulder Press,Machine Shoulder Press,Start with your elbows in front of you and palms facing in. Rotate the dumbbells so that your palms face forward as you press.,,2,3,2,2,3,8,9,,,8,10,,FALSE,FALSE
1,1,Push #1,Pectorals,A1. Press-Around,DB Flye,Deficit Push Up,"Brace with your non-working arm, squeeze your pecs by pressing the cable across your body",,0,0,1,1,2,9,10,,,12,15,,FALSE,FALSE
1,1,Push #1,Pectorals,A2. Pec Static Stretch 30s,,,Hold a pec stretch for 30 seconds. The stretch should be held at about a 7/10 intensity.,,0,0,0,0,2,,,,,,,30,FALSE,TRUE
1,1,Push #1,Shoulders,Cross-Body Cable Y-Raise (Side Delt),DB Lateral Raise,Machine Lateral Raise,"Think about swinging the cable out and up as if ""drawing a sword"" from your side",,1,2,1,1,3,9,10,,,12,15,,FALSE,FALSE
1,1,Push #1,Triceps,Squeeze-Only Triceps Pressdown + Stretch-Only Overhead Triceps Extension,"Triceps Pressdown
(12-15 reps)","DB Skull Crusher
(12-15 reps)","Do the second half of the ROM for pressdowns (""the squeeze"") and the first half of the ROM for overhead extensions (""the stretch"")",,1,2,1,1,3,9,10,,,,,,FALSE,FALSE
1,1,Push #1,Triceps,N1-Style Cross-Body Triceps Extension,Single-Arm Tricep Pressdown,Single-Arm Cable Tricep Kickback,Extend your triceps with your arm more out to the side than a regular pressdown. Feel the stretch as the cable moves across your torso,,1,2,0,0,2,10,10,,,10,12,,FALSE,FALSE
1,2,Pull #1,Back,Lat Pulldown (Feeder Sets),Machine Pulldown,Pull-Up,Do 4 feeder sets of 10 reps by gradually building the weight up from set to set. Set 1 is pretty light (RPE 4-5). Set 2 is a little heavier (RPE 6-7). Set 3 is a little heavier again (RPE 7-8). Set 4 is your hard set: try to hit failure at 10 reps on this last set.,,2,3,0,0,4,,,,,10,10,,FALSE,FALSE
1,2,Pull #1,Back,Lat Pulldown (Failure Set),Machine Pulldown,Pull-Up,"After hitting failure at ~10 reps, do a dropset. Strip the weight back ~30-50% and do another 5 reps with nice and controlled technique",,2,3,0,0,1,10,10,,,,,,FALSE,FALSE
1,2,Pull #1,Back,Omni-Grip Machine Chest-Supported Row,Incline Chest-Supported DB Row,Cable Seated Row,Use 3 different grips for the 3 working sets (ideally going from wider to closer),,2,3,2,2,3,8,9,,,10,12,,FALSE,FALSE
